cost,brand,model_name,modelDate,mileage,bodyType,color,engineDisplacement,enginePower,fuelType,vehicleTransmission,drive,wheel,state,ownersCount,pts,customs
5000000,mercedes,e_klasse_amg,2018,28702,седан,серебристый,3.0,435,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
10350000,mercedes,v_klasse,2021,10,минивэн,чёрный,2.1,190,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1430000,mercedes,gl_klasse,2010,211000,внедорожник 5 дв.,чёрный,3.0,224,Дизель,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
199000,mercedes,a_klasse,2000,220000,хэтчбек 5 дв.,синий,1.4,82,Бензин,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
425000,mercedes,s_klasse,2000,222000,седан,серебристый,5.0,306,Бензин,автоматическая,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
730000,mercedes,viano,2004,205532,минивэн,белый,2.2,150,Дизель,автоматическая,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
867000,mercedes,m_klasse,2007,310000,внедорожник 5 дв.,серебристый,3.0,190,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
17499000,mercedes,g_klasse_amg,2020,34162,внедорожник 5 дв.,чёрный,4.0,585,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
2999999,mercedes,glc_coupe,2017,55720,внедорожник 5 дв.,серый,2.0,245,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
6150000,mercedes,e_klasse,2021,4400,седан,чёрный,2.9,249,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
20330000,mercedes,v_klasse,2020,208,минивэн,чёрный,2.1,190,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1945000,mercedes,g_klasse,2004,330000,внедорожник 5 дв.,серебристый,5.0,296,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
2700000,mercedes,glc_klasse,2018,80500,внедорожник 5 дв.,серебристый,2.0,211,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
895000,mercedes,m_klasse,2008,156493,внедорожник 5 дв.,чёрный,3.5,272,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
980000,mercedes,s_klasse,2007,175000,седан,белый,5.5,388,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
6777000,mercedes,cla_klasse_amg,2021,1270,седан,серый,2.0,421,Бензин,роботизированная,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
2800000,mercedes,gl_klasse,2014,180000,внедорожник 5 дв.,чёрный,3.0,249,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
827000,mercedes,c_klasse,2008,213785,седан,серый,2.2,136,Дизель,автоматическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
28790000,mercedes,v_klasse,2021,20,минивэн,чёрный,2.1,190,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
9769000,mercedes,gls_klasse,2020,26246,внедорожник 5 дв.,чёрный,2.9,330,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
2445000,mercedes,gl_klasse,2014,149384,внедорожник 5 дв.,чёрный,3.0,333,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1499000,mercedes,cl_klasse,2011,189581,купе-хардтоп,чёрный,4.7,435,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
26400000,mercedes,v_klasse,2021,50,минивэн,чёрный,2.1,190,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
33000000,mercedes,v_klasse,2021,3000,минивэн,чёрный,2.1,190,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1077000,mercedes,gl_klasse,2006,225107,внедорожник 5 дв.,чёрный,5.5,388,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
969000,mercedes,c_klasse,2012,117356,седан,белый,1.8,184,Бензин,автоматическая,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
2435000,mercedes,gl_klasse,2014,175202,внедорожник 5 дв.,чёрный,3.0,249,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1095000,mercedes,c_klasse,2011,132457,седан,серый,1.8,184,Бензин,автоматическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
4660000,mercedes,v_klasse,2018,60993,минивэн,чёрный,2.1,190,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
2722000,mercedes,gl_klasse,2014,226310,внедорожник 5 дв.,белый,3.0,249,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен
819000,mercedes,glk_klasse,2008,172608,внедорожник 5 дв.,красный,3.5,272,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
6049000,mercedes,g_klasse_amg,2016,88093,внедорожник 5 дв.,чёрный,5.5,571,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
4719000,mercedes,g_klasse_amg,2013,69380,внедорожник 5 дв.,чёрный,5.5,544,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
4550000,mercedes,gle_klasse,2018,66798,внедорожник 5 дв.,чёрный,3.0,249,Дизель,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
34500000,mercedes,v_klasse,2021,10,минивэн,чёрный,2.1,190,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1150000,mercedes,c_klasse,2012,127000,седан,чёрный,1.8,156,Бензин,автоматическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1945000,mercedes,a_klasse_amg,2014,64510,хэтчбек 5 дв.,серый,2.0,360,Бензин,роботизированная,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
5500000,mercedes,gls_klasse,2018,73372,внедорожник 5 дв.,чёрный,3.0,249,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
27000000,mercedes,v_klasse,2020,32,минивэн,чёрный,2.1,190,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
33000000,mercedes,v_klasse,2021,3000,минивэн,чёрный,2.1,190,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
3338000,mercedes,e_klasse,2019,64189,седан,серебристый,2.0,197,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
4489000,mercedes,v_klasse,2017,85934,минивэн,чёрный,2.1,190,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
7719000,mercedes,gle_klasse_coupe,2020,26823,внедорожник 5 дв.,зелёный,2.9,249,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
860000,mercedes,c_klasse,2011,136000,седан,красный,1.8,156,Бензин,автоматическая,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
1499000,mercedes,cl_klasse,2011,189581,купе-хардтоп,чёрный,4.7,435,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
3095000,mercedes,s_klasse,2015,110041,седан,синий,3.0,333,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
2800000,mercedes,gl_klasse,2014,180000,внедорожник 5 дв.,чёрный,3.0,249,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
4299000,mercedes,glc_klasse,2020,8579,внедорожник 5 дв.,белый,2.0,249,Бензин,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1050000,mercedes,a_klasse,2013,125485,хэтчбек 5 дв.,белый,1.6,122,Бензин,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
3347000,mercedes,e_klasse,2019,37506,седан,чёрный,2.0,194,Дизель,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
7290000,mercedes,gle_klasse,2021,6,внедорожник 5 дв.,синий,2.0,245,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1050000,mercedes,glk_klasse,2010,145000,внедорожник 5 дв.,бежевый,3.0,231,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
7050000,mercedes,v_klasse,2018,31790,минивэн,коричневый,2.1,190,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
4033000,mercedes,gle_klasse,2018,60090,внедорожник 5 дв.,чёрный,3.0,249,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
3137000,mercedes,gle_klasse,2016,101493,внедорожник 5 дв.,синий,3.0,249,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
2445000,mercedes,gl_klasse,2014,149384,внедорожник 5 дв.,чёрный,3.0,333,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1755000,mercedes,gla_class,2014,90898,внедорожник 5 дв.,серый,2.0,211,Бензин,роботизированная,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1397000,mercedes,glk_klasse,2012,89281,внедорожник 5 дв.,серебристый,3.5,306,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
2435000,mercedes,gl_klasse,2014,175202,внедорожник 5 дв.,чёрный,3.0,249,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1945000,mercedes,a_klasse_amg,2014,64510,хэтчбек 5 дв.,серый,2.0,360,Бензин,роботизированная,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
14999000,mercedes,g_klasse,2020,22183,внедорожник 5 дв.,чёрный,4.0,422,Бензин,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
3099000,mercedes,cla_klasse,2020,14512,седан,чёрный,1.3,150,Бензин,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1599000,mercedes,glk_klasse,2014,130998,внедорожник 5 дв.,серый,3.5,249,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
3963000,mercedes,s_klasse,2016,107191,седан,зелёный,3.0,249,Дизель,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
4850000,mercedes,v_klasse,2018,90042,минивэн,чёрный,2.1,190,Дизель,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
1095000,mercedes,c_klasse,2011,132457,седан,серый,1.8,184,Бензин,автоматическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
4719000,mercedes,g_klasse_amg,2013,69380,внедорожник 5 дв.,чёрный,5.5,544,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
8126000,mercedes,gle_klasse_coupe,2020,6088,внедорожник 5 дв.,красный,2.9,249,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
32900000,mercedes,v_klasse,2021,50,минивэн,чёрный,2.1,190,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
