cost,brand,model_name,modelDate,mileage,bodyType,color,engineDisplacement,enginePower,fuelType,vehicleTransmission,drive,wheel,state,ownersCount,pts,customs
2499000,bmw,5er,2017,159857,универсал 5 дв.,белый,2.0,190,Дизель,автоматическая,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1710000,bmw,i3,2017,48743,хэтчбек 5 дв.,чёрный,0.7,170,Гибрид,автоматическая,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
4800000,bmw,5er,2019,20250,седан,чёрный,3.0,400,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
578210,bmw,x5,2002,662000,внедорожник 5 дв.,чёрный,3.0,231,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
90000,bmw,3er,1987,300000,седан,зелёный,1.8,105,Бензин,механическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
645000,bmw,5er,2005,255448,седан,серый,2.5,218,Бензин,автоматическая,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
750000,bmw,x5,2004,280000,внедорожник 5 дв.,чёрный,4.4,320,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
180000,bmw,3er,1994,400000,седан,зелёный,1.8,115,Бензин,механическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
730000,bmw,3er,2006,138000,седан,красный,2.5,218,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
1145000,bmw,3er,2012,121727,седан,чёрный,2.0,245,Бензин,автоматическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
11700000,bmw,m8,2020,39000,купе,серый,4.4,625,Бензин,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
950000,bmw,5er,2008,265000,седан,чёрный,3.0,272,Бензин,автоматическая,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
2775000,bmw,x5,2015,112766,внедорожник 5 дв.,коричневый,3.0,218,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
2225000,bmw,5er,2018,94000,седан,белый,2.0,190,Дизель,автоматическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
765000,bmw,3er,2009,232959,купе,чёрный,2.5,218,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
580000,bmw,x5,2005,496000,внедорожник 5 дв.,чёрный,4.4,320,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
